	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
1							6							6							6			
2							8	8						8	8						8	8		
3							10	10	10					10	10	10					10	10	10	
4							9	11	7	5				9	9	7	5				9	9	7	5
5							8	7	7	6	5			8	7	7	6	5			8	7	7	6
6							7	8	10	7	7	7		7	8	10	7	7	7		7	8	10	7
7																								
8														6							6			
9														8	8						8	8		
10														9	9	10					10	10	10	
11														8	9	7	5				9	9	7	5
12														8	7	7	6	5			8	7	7	6
13														7	8	10	7	7	7		7	8	9	7
14																								
15																					6			
16																					8	8		
17																					9	9	10	
18																					8	9	7	5
19																					8	7	7	6
