	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
1		3		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2	
2				5	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4			4	4		
3				2	2	2		2	2	2		2	2	2		2	2	2		2	2	2		2	2	2		2	2	2		2	2	2		2	2	2		2	2	2		2	2	2		2	2	2		2	2	2		2	2	2	
4								9	8	8	8					8	8	8	8					8	8	8	8					8	8	8	8					8	8	8	8					8	8	8	8					8	8	8	8
5						2		2	2	2	4	2		2		2	2	2	4	2		2		2	2	2	4	2		2		2	2	2	4	2		2		2	2	2	4	2		2		2	2	2	4	2		2		2	2	2	4
6								4	4	4	4	4	4			4	4	4	4	4	4			4	4	4	4	4	4			4	4	4	4	4	4			4	4	4	4	4	4			4	4	4	4	4	4			4	4	4	4
7								2	2	2	2	2	2	2		2	2	2	2	2	2	2		2	2	2	2	2	2	2		2	2	2	2	2	2	2		2	2	2	2	2	2	2		2	2	2	2	2	2	2		2	2	2	2
8																17	16	16	16	16	16	16	16									16	16	16	16	16	16	16	16									16	16	16	16	16	16	16	16				
9										2		2		2		2	2	2	4	2	6	2	8	2		2		2		2		2	2	2	4	2	6	2	8	2		2		2		2		2	2	2	4	2	6	2	8	2		2	
10												4	4			4	4	4	4	4	4	4	8	4	4			4	4			4	4	4	4	4	4	4	8	4	4			4	4			4	4	4	4	4	4	4	8	4	4		
11												2	2	2		2	2	2	2	2	2	2	2	2	2	2		2	2	2		2	2	2	2	2	2	2	2	2	2	2		2	2	2		2	2	2	2	2	2	2	2	2	2	2	
12																8	8	8	8	8	8	8	8	8	8	8	8					8	8	8	8	8	8	8	8	8	8	8	8					8	8	8	8	8	8	8	8	8	8	8	8
13														2		2	2	2	2	2	2	2	2	2	2	2	4	2		2		2	2	2	2	2	2	2	2	2	2	2	4	2		2		2	2	2	2	2	2	2	2	2	2	2	4
14																4	4	4	4	4	4	4	4	4	4	4	4	4	4			4	4	4	4	4	4	4	4	4	4	4	4	4	4			4	4	4	4	4	4	4	4	4	4	4	4
15																2	2	2	2	2	2	2	2	2	2	2	2	2	2	2		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2		2	2	2	2	2	2	2	2	2	2	2	2
16																																33	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32												
17																		2		2		2		2		2		2		2		2	2	2	4	2	6	2	8	2	10	2	12	2	14	2	16	2		2		2		2		2		2	
18																				4	4			4	4			4	4			4	4	4	4	4	4	4	8	4	4	4	12	4	4	4	16	4	4			4	4			4	4		
19																				2	2	2		2	2	2		2	2	2		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2		2	2	2		2	2	2	
20																								8	8	8	8					8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	16	8	8	8	8					8	8	8	8
21																						2		2	2	2	2	2		2		2	2	2	2	2	2	2	2	2	2	2	4	2	4	2	2	2	2	2	4	2		2		2	2	2	4
22																								4	4	4	4	4	4			4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4			4	4	4	4
23																								2	2	2	2	2	2	2		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2		2	2	2	2
24																																16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16				
25																										2		2		2		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	6	2	8	2		2	
26																												4	4			4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	8	4	4		
27																												2	2	2		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
28																																8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
29																														2		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4
30																																4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
31																																2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
32																																																											
33																																		2		2		2		2		2		2		2		2		2		2		2		2		2	
34																																				4	4			4	4			4	4			4	4			4	4			4	4		
35																																				2	2	2		2	2	2		2	2	2		2	2	2		2	2	2		2	2	2	
36																																								8	8	8	8					8	8	8	8					8	8	8	8
37																																						2		2	2	2	2	2		2		2	2	2	2	2		2		2	2	2	2
38																																								4	4	4	4	4	4			4	4	4	4	4	4			4	4	4	4
39																																								2	2	2	2	2	2	2		2	2	2	2	2	2	2		2	2	2	2
40																																																16	16	16	16	16	16	16	16				
41																																										2		2		2		2	2	2	2	2	2	2	2	2		2	
42																																												4	4			4	4	4	4	4	4	4	4	4	4		
43																																												2	2	2		2	2	2	2	2	2	2	2	2	2	2	
44																																																8	8	8	8	8	8	8	8	8	8	8	8
45																																														2		2	2	2	2	2	2	2	2	2	2	2	2
46																																																4	4	4	4	4	4	4	4	4	4	4	4
47																																																2	2	2	2	2	2	2	2	2	2	2	2
48																																																											
49																																																		2		2		2		2		2	
